상권_ID,역명,지역,가성비_지수,클러스터
329,선릉,서울,256,0
401,홍대입구,서울,250,0
291,"마곡, 마곡나루",서울,242,0
242,"공덕, 마포",서울,232,0
251,구로디지털단지,서울,231,0
362,영등포시장,서울,222,0
222,"가산디지털단지, 남구로",서울,213,0
326,서울대입구,서울,210,0
226,"강남, 논현, 신논현, 신사",서울,210,0
238,"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 시청, 신당, 안국, 약수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",서울,195,0
376,"잠실, 잠실나루",서울,193,0
237,건대입구,서울,189,0
303,"문래, 영등포구청",서울,188,0
135,안양,경기,186,0
249,"교대, 서초",서울,182,0
332,성신여대입구,서울,180,0
307,발산,서울,178,0
69,미사,경기,178,0
290,"뚝섬, 서울숲",서울,177,0
82,부천,경기,176,0
263,남부터미널,서울,175,0
361,영등포,서울,173,0
390,천호,서울,172,0
119,수원시청,경기,171,0
360,연신내,서울,171,0
372,응암,서울,170,0
317,"삼전, 잠실새내",서울,170,0
296,망원,서울,169,0
130,신중동,경기,167,0
270,노원,서울,166,0
71,"발곡, 범골, 회룡",경기,166,0
352,양재,서울,164,0
400,합정,서울,164,0
230,"강변, 구의",서울,164,0
94,상동,경기,163,0
182,정자,경기,162,0
18,광교중앙,경기,161,0
364,오목교,서울,159,0
331,성수,서울,156,0
328,석촌고분,서울,155,0
223,"가양, 증미",서울,154,0
404,회기,서울,152,0
335,"수유, 화계",서울,151,0
256,국회의사당,서울,151,0
179,정발산,경기,149,0
186,중앙,경기,149,0
393,총신대입구,서울,149,0
38,다산,경기,148,0
295,"망우, 상봉",서울,147,0
241,"고속터미널, 반포, 사평, 신반포, 잠원",서울,146,0
138,야탑,경기,145,0
304,문정,서울,141,2
278,"대방, 샛강, 여의도",서울,141,2
301,"몽촌토성, 석촌, 송파, 송파나루, 한성백제",서울,140,2
398,"한성대입구, 혜화",서울,140,2
232,개봉,서울,140,2
311,봉천,서울,139,2
306,미아사거리,서울,139,2
22,구리,경기,138,2
350,압구정,서울,137,2
403,화곡,서울,136,2
116,수내,경기,135,2
286,둔촌동,서울,135,2
330,선유도,서울,134,2
74,범계,경기,134,2
83,부천시청,경기,133,2
248,"광흥창, 대흥, 상수, 서강대, 신촌, 이대",서울,132,2
100,서현,경기,132,2
323,새절,서울,132,2
343,신설동,서울,132,2
228,"강동, 길동",서울,131,2
395,하계,서울,131,2
207,평촌,경기,128,2
344,"신이문, 외대앞",서울,127,2
277,대림,서울,126,2
77,병점,경기,125,2
0,"가능, 경기도청북부청사, 경전철의정부, 곤제, 동오, 새말, 의정부, 의정부시청, 의정부중앙, 효자, 흥선",경기,121,2
276,당산,서울,121,2
269,노량진,서울,121,2
346,쌍문,서울,121,2
250,구로,서울,121,2
219,화정,경기,121,2
113,송내,경기,121,2
131,신천,경기,121,2
275,"당곡, 보라매, 보라매공원, 보라매병원, 서울대벤처타운, 서울지방병무청, 서원, 신대방삼거리, 신림",서울,119,2
388,창동,서울,119,2
21,구래,경기,119,2
20,광명사거리,경기,118,2
34,"남한산성입구, 단대오거리",경기,118,2
356,양평,서울,118,2
258,"굽은다리, 명일",서울,117,2
260,길음,서울,117,2
28,금정,경기,117,2
243,공릉,서울,116,2
134,안산,경기,115,2
392,청량리,서울,115,2
58,마두,경기,113,2
357,어린이대공원,서울,112,2
320,"상왕십리, 행당",서울,112,2
355,양천향교,서울,112,2
10,고잔,경기,112,2
358,"언주, 역삼, 학동",서울,111,2
394,태릉입구,서울,110,2
62,망포,경기,110,2
194,철산,경기,109,2
106,성복,경기,109,2
318,상계,서울,108,2
121,"수진, 신흥",경기,108,2
56,"동천, 오리",경기,107,2
288,등촌,서울,107,2
201,춘의,경기,107,2
87,사우,경기,106,2
149,영통,경기,104,2
378,장지,서울,104,2
324,"서대문, 아현, 애오개, 충정로",서울,104,2
110,소사,경기,103,2
229,강동구청,서울,103,2
227,"강남구청, 선정릉",서울,103,2
114,"송산, 어룡, 탑석",경기,103,2
267,"내방, 방배",서울,103,2
308,방학,서울,102,2
19,광명,경기,102,2
285,돌곶이,서울,102,2
300,"목동, 신정, 신정네거리",서울,101,2
405,효창공원앞,서울,101,2
384,중랑,서울,100,2
253,"구산, 불광, 역촌",서울,100,2
118,수원,경기,100,2
103,선부,경기,99,2
88,산본,경기,99,2
315,사가정,서울,99,2
347,아차산,서울,99,2
259,금천구청,서울,97,2
279,도림천,서울,96,2
120,수지구청,경기,96,2
25,군포,경기,95,2
99,서정리,경기,95,2
254,구일,서울,95,2
240,"고려대, 안암",서울,95,2
363,오류동,서울,94,2
66,"모란, 태평",경기,93,2
257,군자,서울,93,2
265,"남영, 삼각지, 숙대입구, 신용산, 용산",서울,93,2
124,시흥능곡,경기,92,2
147,역곡,경기,92,2
180,정부과천청사,경기,91,2
30,기흥,경기,91,2
172,일산,경기,90,2
185,중동,경기,89,2
206,평내호평,경기,88,2
367,"용두, 제기동",서울,87,2
235,"개화산, 방화",서울,87,2
380,정릉,서울,87,2
348,암사,서울,86,2
316,사당,서울,86,2
386,중화,서울,86,2
68,미금,경기,85,2
97,상현,경기,85,2
379,장한평,서울,85,2
255,구파발,서울,85,2
310,"봉은사, 삼성, 삼성중앙, 청담",서울,85,2
216,한대앞,경기,85,2
369,우장산,서울,84,2
383,중곡,서울,84,2
247,광운대,서울,84,2
402,홍제,서울,83,2
221,"가락시장, 개롱, 경찰병원, 방이, 오금",서울,83,2
289,"디지털미디어시티, 수색",서울,83,2
213,하남시청,경기,83,1
176,장자호수공원,경기,82,1
319,상도,서울,82,1
399,한양대,서울,82,1
341,신도림,서울,82,2
298,먹골,서울,81,1
65,명학,경기,81,1
345,신풍,서울,80,1
160,운정,경기,80,1
239,고덕,서울,80,1
284,독산,서울,79,1
333,수락산,서울,78,1
73,백석,경기,78,1
261,까치산,서울,77,1
136,야당,경기,76,1
50,도농,경기,75,1
354,양천구청,서울,75,1
342,"신목동, 염창",서울,75,1
299,면목,서울,75,1
305,"미아, 삼양, 삼양사거리, 솔샘",서울,75,1
167,월곶,경기,75,1
174,장기,경기,75,1
183,주엽,경기,75,1
190,지행,경기,75,1
327,석계,서울,74,1
154,오산대,경기,73,1
165,원종,경기,73,1
104,성균관대,경기,73,1
262,낙성대,서울,72,1
86,사리,경기,71,1
322,상일동,서울,71,1
294,"마포구청, 월드컵경기장",서울,71,1
63,매교,경기,69,1
67,문산,경기,69,1
157,용인중앙시장,경기,69,1
153,오산,경기,68,1
377,장승배기,서울,68,1
264,남성,서울,67,1
340,신대방,서울,67,1
382,중계,서울,67,1
171,인덕원,경기,67,1
143,양평,경기,65,1
334,수서,서울,64,1
274,"답십리, 마장, 신답, 왕십리, 용답",서울,64,1
29,금촌,경기,64,1
17,광교,경기,63,1
75,별내,경기,63,1
52,동구릉,경기,63,1
336,숭실대입구,서울,63,1
208,평택,경기,62,1
236,거여,서울,62,1
272,"녹사평, 이태원",서울,62,1
406,흑석,서울,61,1
368,용마산,서울,60,1
339,"신내, 양원",서울,60,1
61,망월사,경기,59,1
218,화서,경기,59,1
159,운양,경기,59,1
293,마천,서울,59,1
297,매봉,서울,59,1
95,상록수,경기,59,1
359,여의나루,서울,58,1
373,이촌,서울,58,1
244,"공항시장, 김포공항, 송정, 신방화",서울,58,1
312,"봉화산, 화랑대",서울,58,1
292,마들,서울,58,1
3,갈매,경기,58,1
27,금릉,경기,57,1
245,관악산,서울,57,1
55,동백,경기,57,1
224,가오리,서울,56,1
41,당정,경기,56,1
387,증산,서울,56,1
351,압구정로데오,서울,55,1
271,녹번,서울,55,1
47,덕계,경기,54,1
35,녹양,경기,54,1
125,시흥대야,경기,54,1
177,전곡,경기,54,1
151,오목천,경기,54,1
162,원당,경기,53,1
210,풍무,경기,53,1
375,자양,서울,52,1
111,소새울,경기,52,1
57,둔전,경기,52,1
48,덕소,경기,51,1
12,고촌,경기,51,1
233,"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 학여울, 한티",서울,51,1
313,북한산보국문,서울,50,1
33,남위례,경기,50,1
108,세마,경기,50,1
338,신길,서울,49,1
15,과천,경기,49,1
126,시흥시청,경기,49,1
280,도봉,서울,49,1
212,하남검단산,경기,49,1
188,지축,경기,48,1
184,죽전,경기,48,1
225,가좌,서울,48,1
321,"상월곡, 월곡",서울,48,1
1,가천대,경기,47,1
397,한남,서울,47,1
76,별내별가람,경기,47,1
203,퇴계원,경기,46,1
92,삼송,경기,46,1
302,무악재,서울,46,1
6,걸포북변,경기,46,1
54,동두천중앙,경기,45,1
200,초지,경기,44,1
246,광나루,서울,43,1
166,원흥,경기,43,1
202,탄현,경기,43,1
181,정왕,경기,42,1
4,강남대,경기,42,1
169,의왕,경기,41,1
353,양재시민의숲,서울,40,1
64,매탄권선,경기,40,1
389,천왕,서울,40,1
148,연천,경기,39,1
314,불암산,서울,39,1
381,종합운동장,서울,39,1
337,신금호,서울,38,1
195,청명,경기,38,1
370,월계,서울,37,1
115,송탄,경기,37,1
142,양촌,경기,37,3
217,행신,경기,37,1
192,진접,경기,37,1
49,덕정,경기,37,1
46,대화,경기,37,1
127,신갈,경기,37,1
59,마산,경기,36,1
72,백마,경기,35,1
220,"4.19민주묘지, 북한산우이, 솔밭공원",서울,33,1
60,마석,경기,32,1
51,도심,경기,32,3
156,용문,경기,32,3
23,구성,경기,32,1
31,"김량장, 명지대",경기,32,3
282,독립문,서울,31,1
11,고진,경기,30,3
366,온수,서울,29,3
349,암사역사공원,서울,29,3
101,석수,경기,28,3
178,전대·에버랜드,경기,27,3
211,풍산,경기,27,3
14,곤지암,경기,26,3
164,원시,경기,26,3
26,금곡,경기,26,3
214,하남풍산,경기,25,3
122,시우,경기,24,3
107,세류,경기,24,3
150,오남,경기,23,3
391,청계산입구,서울,22,3
385,중앙보훈병원,서울,21,3
209,평택지제,경기,21,3
132,신현,경기,20,3
7,경기광주,경기,20,3
9,고색,경기,20,3
93,상갈,경기,20,3
70,반월,경기,20,3
91,삼동,경기,20,3
89,산성,경기,20,3
80,보평,경기,20,3
287,"둔촌오륜, 올림픽공원",서울,20,3
117,수리산,경기,20,3
365,옥수,서울,18,3
199,초월,경기,17,3
281,도봉산,서울,17,3
45,대야미,경기,16,3
36,능곡,경기,16,3
273,녹천,서울,16,3
79,보정,경기,15,3
78,보산,경기,11,3
98,서동탄,경기,11,3
90,삼가,경기,11,3
144,어정,경기,11,3
32,까치울,경기,10,3
371,응봉,서울,10,3
123,시청·용인대,경기,10,3
112,소요산,경기,10,3
283,독바위,서울,10,3
204,파주,경기,10,3
198,초당,경기,10,3
16,관악,경기,10,3
168,월롱,경기,10,3
231,강일,서울,8,3
187,지석,경기,7,3
2,가평,경기,7,3
128,신둔도예촌,경기,6,3
268,노들,서울,6,3
197,청평,경기,6,3
396,한강진,서울,6,3
193,천마산,경기,6,3
205,팔당,경기,6,3
141,양주,경기,6,3
175,장암,경기,6,3
374,일원,서울,3,3
139,양수,경기,2,3
105,"성남, 이매, 판교",경기,2,3
85,사릉,경기,1,3
137,야목,경기,1,3
170,이천,경기,1,3
309,복정,서울,1,3
266,남태령,서울,1,3
8,경마공원,경기,0,3
196,청산,경기,0,3
140,양정,경기,0,3
133,아신,경기,0,3
252,"구반포, 동작",서울,0,3
163,원덕,경기,0,3
161,운천,경기,0,3
158,운길산,경기,0,3
152,오빈,경기,0,3
155,오이도,경기,0,3
234,개화,서울,0,3
173,임진강,경기,0,3
189,지평,경기,0,3
215,한국항공대,경기,0,3
191,진위,경기,0,3
5,강매,경기,0,3
13,곡산,경기,0,3
129,신원,경기,0,3
96,상천,경기,0,3
84,부천종합운동장,경기,0,3
109,세종대왕릉,경기,0,3
102,선바위,경기,0,3
145,어천,경기,0,3
146,여주,경기,0,3
44,대성리,경기,0,3
53,동두천,경기,0,3
325,서빙고,서울,0,3
43,대공원,경기,0,3
42,대곡,경기,0,3
40,달월,경기,0,3
37,능길,경기,0,3
39,달미,경기,0,3
81,부발,경기,0,3
24,국수,경기,0,3
