역명,지역
"가산디지털단지, 남구로",서울
"강남, 논현, 신논현, 신사",서울
"강변, 구의",서울
건대입구,서울
"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 시청, 신당, 안국, 약수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",서울
"고속터미널, 반포, 사평, 신반포, 잠원",서울
"공덕, 마포",서울
"광흥창, 대흥, 상수, 서강대, 신촌, 이대",서울
"교대, 서초",서울
구로디지털단지,서울
국회의사당,서울
남부터미널,서울
노원,서울
"대방, 샛강, 여의도",서울
"마곡, 마곡나루",서울
"문래, 영등포구청",서울
발산,서울
"봉은사, 삼성, 삼성중앙, 청담",서울
"삼전, 잠실새내",서울
상동,경기
서울대입구,서울
서현,경기
선릉,서울
수원,경기
수원시청,경기
신중동,경기
안양,경기
압구정,서울
야탑,경기
양재,서울
영등포,서울
영등포시장,서울
오목교,서울
"잠실, 잠실나루",서울
정발산,경기
총신대입구,서울
"한성대입구, 혜화",서울
합정,서울
홍대입구,서울
회기,서울
"4.19민주묘지, 북한산우이, 솔밭공원",서울
가오리,서울
가평,경기
강매,경기
강일,서울
개화,서울
경기광주,경기
경마공원,경기
고색,경기
고진,경기
곡산,경기
곤지암,경기
관악,경기
"구반포, 동작",서울
구성,경기
국수,경기
금곡,경기
"김량장, 명지대",경기
까치울,경기
남태령,서울
노들,서울
녹천,서울
능곡,경기
능길,경기
달미,경기
달월,경기
대곡,경기
대공원,경기
대성리,경기
대야미,경기
덕소,경기
덕정,경기
도봉,서울
도봉산,서울
도심,경기
독립문,서울
독바위,서울
동두천,경기
동두천중앙,경기
동백,경기
"둔촌오륜, 올림픽공원",서울
마산,경기
마석,경기
매탄권선,경기
무악재,서울
반월,경기
백마,경기
보산,경기
보정,경기
보평,경기
복정,서울
부발,경기
부천종합운동장,경기
북한산보국문,서울
불암산,서울
사릉,경기
산성,경기
삼가,경기
삼동,경기
상갈,경기
상천,경기
서동탄,경기
서빙고,서울
석수,경기
선바위,경기
"성남, 이매, 판교",경기
세류,경기
세마,경기
세종대왕릉,경기
소요산,경기
송탄,경기
수리산,경기
시우,경기
시청·용인대,경기
시흥대야,경기
시흥시청,경기
신갈,경기
신금호,서울
신둔도예촌,경기
신원,경기
신현,경기
아신,경기
암사역사공원,서울
야목,경기
양수,경기
양재시민의숲,서울
양정,경기
양주,경기
양촌,경기
어정,경기
어천,경기
여주,경기
연천,경기
오남,경기
오빈,경기
오이도,경기
옥수,서울
온수,서울
용문,경기
운길산,경기
운천,경기
원덕,경기
원시,경기
월계,서울
월롱,경기
응봉,서울
의왕,경기
이천,경기
일원,서울
임진강,경기
장암,경기
전대·에버랜드,경기
정왕,경기
중앙보훈병원,서울
지석,경기
지평,경기
진위,경기
진접,경기
천마산,경기
천왕,서울
청계산입구,서울
청명,경기
청산,경기
청평,경기
초당,경기
초월,경기
초지,경기
퇴계원,경기
파주,경기
팔당,경기
평택지제,경기
풍산,경기
하남풍산,경기
한강진,서울
한국항공대,경기
행신,경기
"가양, 증미",서울
"강남구청, 선정릉",서울
"강동, 길동",서울
개봉,서울
"고려대, 안암",서울
공릉,서울
광교중앙,경기
광명,경기
광명사거리,경기
구래,경기
구로,서울
구리,경기
"구산, 불광, 역촌",서울
구파발,서울
"굽은다리, 명일",서울
금정,경기
길음,서울
"남한산성입구, 단대오거리",경기
"내방, 방배",서울
노량진,서울
다산,경기
"당곡, 보라매, 보라매공원, 보라매병원, 서울대벤처타운, 서울지방병무청, 서원, 신대방삼거리, 신림",서울
당산,서울
대림,서울
"동천, 오리",경기
둔촌동,서울
등촌,서울
"뚝섬, 서울숲",서울
마두,경기
"망우, 상봉",서울
망원,서울
"목동, 신정, 신정네거리",서울
"몽촌토성, 석촌, 송파, 송파나루, 한성백제",서울
문정,서울
미사,경기
미아사거리,서울
"발곡, 범골, 회룡",경기
범계,경기
병점,경기
봉천,서울
부천,경기
부천시청,경기
사당,서울
사우,경기
산본,경기
"상왕십리, 행당",서울
새절,서울
"서대문, 아현, 애오개, 충정로",서울
석촌고분,서울
선부,경기
선유도,서울
성수,서울
성신여대입구,서울
