역명,지역
백양리,강원
강촌,강원
굴봉산,강원
김유정,강원
남춘천,강원
춘천,강원
능길,경기
능곡,경기
녹양,경기
남위례,경기
까치울,경기
"가능, 경전철의정부, 동오, 의정부, 의정부중앙",경기
다산,경기
금촌,경기
금정,경기
금릉,경기
금곡,경기
기흥,경기
달미,경기
대공원,경기
당정,경기
대곡,경기
군포,경기
대성리,경기
대야미,경기
대화,경기
덕계,경기
덕소,경기
덕정,경기
도농,경기
도심,경기
동구릉,경기
달월,경기
국수,경기
구래,경기
구리,경기
신갈,경기
시흥시청,경기
시흥대야,경기
시흥능곡,경기
가천대,경기
가평,경기
갈매,경기
강남대,경기
강매,경기
걸포북변,경기
경기광주,경기
경마공원,경기
고색,경기
고잔,경기
고진,경기
고촌,경기
곡산,경기
곤지암,경기
과천,경기
관악,경기
광교,경기
광교중앙,경기
광명,경기
광명사거리,경기
동두천,경기
구성,경기
신둔도예촌,경기
동두천중앙,경기
둔전,경기
삼송,경기
상갈,경기
상동,경기
상록수,경기
상천,경기
상현,경기
새말,경기
서동탄,경기
서정리,경기
서현,경기
석수,경기
선바위,경기
선부,경기
삼동,경기
성균관대,경기
세류,경기
세마,경기
세종대왕릉,경기
소사,경기
소새울,경기
소요산,경기
송내,경기
송탄,경기
수내,경기
수리산,경기
수원,경기
수원시청,경기
수지구청,경기
성복,경기
동백,경기
삼가,경기
산본,경기
마두,경기
마산,경기
마석,경기
망월사,경기
망포,경기
매교,경기
매탄권선,경기
명학,경기
문산,경기
미금,경기
미사,경기
반월,경기
백마,경기
산성,경기
백석,경기
별내,경기
별내별가람,경기
병점,경기
보산,경기
보정,경기
보평,경기
부발,경기
부천,경기
부천시청,경기
부천종합운동장,경기
사릉,경기
사리,경기
사우,경기
범계,경기
시우,경기
신원,경기
신천,경기
퇴계원,경기
탄현,경기
춘의,경기
초지,경기
초월,경기
초당,경기
청평,경기
청산,경기
청명,경기
신중동,경기
천마산,경기
진접,경기
진위,경기
지행,경기
지평,경기
지축,경기
지석,경기
중앙,경기
중동,경기
죽전,경기
주엽,경기
파주,경기
팔당,경기
평내호평,경기
평촌,경기
"경기도청북부청사, 곤제, 효자",경기
"의정부시청, 흥선",경기
"김량장, 명지대",경기
"남한산성입구, 단대오거리",경기
"동천, 오리",경기
"모란, 태평",경기
"발곡, 범골, 회룡",경기
"성남, 이매, 판교",경기
"송산, 어룡, 탑석",경기
"수진, 신흥",경기
정자,경기
화정,경기
행신,경기
한대앞,경기
한국항공대,경기
하남풍산,경기
하남시청,경기
하남검단산,경기
풍산,경기
풍무,경기
평택지제,경기
평택,경기
화서,경기
정왕,경기
철산,경기
정발산,경기
오빈,경기
오목천,경기
오남,경기
영통,경기
연천,경기
역곡,경기
여주,경기
어천,경기
어정,경기
양평,경기
정부과천청사,경기
양주,경기
양정,경기
양수,경기
야탑,경기
야목,경기
야당,경기
안양,경기
안산,경기
아신,경기
신현,경기
오산,경기
오산대,경기
양촌,경기
용문,경기
전대·에버랜드,경기
전곡,경기
장자호수공원,경기
장암,경기
장기,경기
임진강,경기
일산,경기
인덕원,경기
이천,경기
의왕,경기
오이도,경기
시청·용인대,경기
월곶,경기
원흥,경기
원종,경기
원시,경기
월롱,경기
원덕,경기
원당,경기
운천,경기
운정,경기
용인중앙시장,경기
운길산,경기
운양,경기
"김해대학, 불암, 지내",경남
가야대,경남
호포,경남
증산,경남
장신대,경남
인제대,경남
연지공원,경남
양산,경남
부산대양산캠퍼스,경남
박물관,경남
남양산,경남
"봉황, 수로왕릉",경남
"김해시청, 부원",경남
북삼,경북
왜관,경북
사곡,경북
구미,경북
경산,경북
평동,광주
운천,광주
송정공원,광주
녹동,광주
남광주,광주
공항,광주
학동증심사입구,광주
문화전당,광주
소태,광주
"돌고개, 양동시장",광주
"농성, 쌍촌, 화정",광주
"김대중컨벤션센터, 상무",광주
"금남로4가, 금남로5가",광주
"광주송정, 도산",광주
"안지랑, 현충로",대구
"구암, 동천, 칠곡운암, 태전, 팔거",대구
"내당, 반고개",대구
"달성공원, 서문시장, 청라언덕",대구
"대구, 반월당, 중앙로, 칠성시장",대구
"대구은행, 수성시장",대구
"동구청, 동대구, 아양교",대구
"매천시장, 팔달",대구
"범물, 용지",대구
"범어, 수성구민운동장",대구
"상인, 월배, 진천",대구
"성서산업단지, 이곡",대구
"어린이세상, 황금",대구
해안,대구
하양,대구
지산,대구
죽전,대구
정평,대구
임당,대구
"교대, 남산, 명덕",대구
율하,대구
용산,대구
용계,대구
영대병원,대구
영남대,대구
연호,대구
"칠곡경대병원, 학정",대구
월촌,대구
"공단, 만평, 북구청, 원대, 팔달시장",대구
수성못,대구
"감삼, 두류",대구
수성알파시티,대구
신천,대구
수성구청,대구
송현,대구
설화명곡,대구
서부정류장,대구
서대구,대구
사월,대구
부호,대구
방촌,대구
반야월,대구
문양,대구
매천,대구
"건들바위, 대봉교",대구
만촌,대구
대실,대구
대명,대구
대구한의대병원,대구
대곡,대구
담티,대구
다사,대구
고산,대구
계명대,대구
경대병원,대구
강창,대구
각산,대구
안심,대구
화원,대구
동촌,대구
신기,대구
신매,대구
지족,대전
판암,대전
"갈마, 월평, 정부청사",대전
"대전, 서대전네거리, 중구청, 중앙로",대전
"시청, 탄방",대전
갑천,대전
구암,대전
노은,대전
반석,대전
현충원,대전
대동,대전
유성온천,대전
용문,대전
오룡,대전
월드컵경기장,대전
신흥,대전
중동,부산
부산대,부산
부산원동,부산
부산진,부산
사직,부산
화명,부산
사하,부산
서부산유통지구,부산
석대,부산
송정,부산
수정,부산
신장림,부산
신평,부산
신해운대,부산
안평,부산
양정,부산
오시리아,부산
범어사,부산
해운대,부산
평강,부산
온천장,부산
월내,부산
율리,부산
일광,부산
장림,부산
장산,부산
장전,부산
재송,부산
주례,부산
지게골,부산
배산,부산
물만골,부산
미남,부산
감전,부산
강서구청,부산
경성대·부경대,부산
공항,부산
광안,부산
교대,부산
구서,부산
금곡,부산
금련산,부산
기장,부산
남산,부산
남산정,부산
남천,부산
낫개,부산
노포,부산
다대포항,부산
다대포해수욕장,부산
대사,부산
덕두,부산
동매,부산
동백,부산
동원,부산
동의대,부산
두실,부산
등구,부산
명륜,부산
명장,부산
모라,부산
문현,부산
